"trial","subject_id","net","vignette","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","raw_err1","raw_err2","raw_err3","err1","err2","err3","overestimate","discrete_correct_1","discrete_correct_2","discrete_correct_3","abs_chg_err","chg_err","acc1","acc2","acc3"
73,639,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,19,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,284,"Control",2.7,0,0,NA,"A","A",NA,5,"A",-5,-5,NA,5,5,NA,FALSE,TRUE,TRUE,NA,NA,NA,-5,-5,NA
73,895,"Control",2.7,10,8,6,"A","A","A",5,"A",5,3,1,5,3,1,TRUE,TRUE,TRUE,TRUE,4,-4,-5,-3,-1
73,174,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,587,"Control",2.7,2,3,2,"A","A","A",5,"A",-3,-2,-3,3,2,3,FALSE,TRUE,TRUE,TRUE,0,0,-3,-2,-3
73,417,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,65,"Control",2.7,50,0,0,"B","A","A",5,"A",45,-5,-5,45,5,5,TRUE,FALSE,TRUE,TRUE,40,-40,-45,-5,-5
73,3,"Control",2.7,20,20,20,"C","C","C",5,"A",15,15,15,15,15,15,TRUE,FALSE,FALSE,FALSE,0,0,-15,-15,-15
73,856,"Control",2.7,5,4,5,"A","A","A",5,"A",0,-1,0,0,1,0,FALSE,TRUE,TRUE,TRUE,0,0,0,-1,0
73,968,"Control",2.7,5,NA,5,"A",NA,"A",5,"A",0,NA,0,0,NA,0,FALSE,TRUE,NA,TRUE,0,0,0,NA,0
73,977,"Control",2.7,0,10,0,"A","A","A",5,"A",-5,5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,9,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,952,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
